﻿﻿Username;Created At;Tweet Text;Tweet ID;Label;Tanggal Labeling
﻿nan;28/03/2025 18.37;Teman: hanya karena satu program (MBG) Prabowo jadi rusak. 1 program saja. . Aku: hah? Bukannya dari awal udah rusak karena Jokowi mencederai konstitusi agar anaknya memenuhi syarat jadi cawapressnya Prabowo. Aneh kalau kalian dulu masih milih 02 . Teman: .....;1,91E+33;NEGATIVE;26/01/2026
﻿nan;28/08/2025 15.06;Dapet pasien anak umuran 4 sd dibawa emaknya ke klinik keluhan mengarah ke Maag. Jujurly udah dapet 7 pasien dari hari senin sampe sekarang gue jaga klinik. Alasannya apa? Kaya gini semenjak makan siangnya dari mbg dok. Shock gue anak² sd sekarang banyak yang kena maag.;1,96E+34;NEUTRAL;26/01/2026
﻿nan;18/04/2025 14.40;Ada Dugaan Penggelapan Dana di Mitra MBG Bagaimana Alur Pendanaan Makan Bergizi Gratis Prabowo? https://t.co/mkOAy1i3CM;1,91E+31;NEUTRAL;26/01/2026
﻿nan;27/09/2025 21.36;Mbg kenapa ga per sekolah aja sih ? Jd lebih fresh jangan satu dapur nanganin 1000-3000 porsi per hari. Itu sih gila.;1,97E+34;NEUTRAL;26/01/2026
﻿nan;27/04/2025 09.50;Fakta membuktikan hanya 1 dari 10 atau 15 sekolah yang mengalami masalah padahal semuanya dilayani oleh dapur SPPG yg sama. Ini menunjukkan bahwa kemungkinan besar masalah tersebut bukan berasal dari dapur. #CekFaktanya Lanjutkan MBG Tone Susu Minggu Iffet Dino Gibran https://t.co/rGk78MBAdB;1,92E+34;POSITIVE;26/01/2026
﻿nan;31/08/2025 14.25;dia seorang penjahat ham sma org yg keracunan mbg aja dia gapeduli apalgi ini? dia ngelayat pun cmn buat pencitraan doang biasalah sok mau jdi pahlawan pdhl pelaku utama wkwkwk;1,96E+34;NEGATIVE;26/01/2026
﻿nan;06/09/2025 09.14;Menteri DPR pejabat-pejabat kalo meeting-meeting konsumnya jg MBG dong biar keracunan jg tp ga berarti dihentikan;1,96E+34;NEGATIVE;26/01/2026
﻿nan;01/08/2025 02.53;Menu MBG di sekolah SMP anakku : https://t.co/QxUL5X099n;1,95E+34;NEUTRAL;26/01/2026
﻿nan;31/08/2025 22.30;Yang keracunan mbg gimana? Yang jadi korban kelalaian obat anak-anak gimana? Yang ga dapet hak pendidikan karna faktor ekonomi gimana? Dan masih banyak persoalan anak-anak lainnya. Mereka semua anak-anak. Dan sangat menderita.;1,96E+34;NEGATIVE;26/01/2026
﻿nan;14/02/2025 21.31;MBG bawa angin perubahan di Papua dengan makanan sehat dan nutrisi berkualitas #MakanBergiziUntukIndonesia #MakanBergiziGratisBantuUMKM https://t.co/4Qlv01Osnt;1,89E+33;POSITIVE;26/01/2026
﻿nan;22/03/2025 19.02;gibran mainnya ke sekolahan terus ngurusin mbg lah sosialisasi AI lah biar 2029 tu bocah pada nyoblos dia atiati jaga adik kalian;1,90E+33;NEUTRAL;26/01/2026
﻿nan;09/10/2025 18.43;Polres Banjar Buka Posko Siswa Korban Keracunan MBG https://t.co/XJ4J0TKHC8;1,98E+33;NEUTRAL;26/01/2026
﻿nan;31/08/2025 10.00;@bluewonn_ Presidennya aja nganggep nyawa rakyat sbg angka (siswa yg keracunan mbg);1,96E+33;NEGATIVE;26/01/2026
﻿nan;23/07/2025 14.54;Selamat hari anak! Semoga anak-anak keracunan MBG berhenti dipandang sebagai angka keberhasilan progam kerja;1,95E+34;POSITIVE;26/01/2026
﻿nan;03/04/2025 22.40;Dengan program Makan Bergizi Gratis Pemkab Lanny Jaya peduli banget sama kesehatan masyarakat. Semua warga bisa dapetin makanan sehat tanpa harus mikirin biaya yang mahal. #MBGuntukPapua https://t.co/sm0GNctkw6;1,91E+32;POSITIVE;26/01/2026
﻿nan;26/06/2025 16.06;Kopdes Merah Putih Siap Suplai Bahan Baku MBG https://t.co/Jh12SwNQ52;1,94E+33;POSITIVE;26/01/2026
﻿nan;12/01/2025 10.48;Pemerintah Jepang menawarkan paket kerja sama untuk Program Makan Bergizi Gratis (MBG). Hal ini dikatakan Perdana Menteri (PM) Jepang Shigeru Ishiba saat melakukan pertemuan dengan Presiden Prabowo Subianto di Istana Kepresidenan Bogor Sabtu (11/1/2025) kemarin. Dalam paket https://t.co/GbUWSbGfxv;1,88E+33;NEUTRAL;26/01/2026
﻿nan;09/05/2025 16.12;@lintang_ayoe @direktoridosen Lu kira keracunan mbg program bikin taman bermain apa gimana? Bisa ada evaluasi kalau gagal? Taruhannya nyawa manusia. Sekali gagal yaudah harusnya di-stop.;1,92E+34;NEGATIVE;26/01/2026
﻿nan;27/01/2025 09.21;Di Thailand jd wisata kuliner lah di Indon jd menu Makan Bergizi Gratis program andalan nya Pak President Iya sih yg sudah 02 ada siswa yg keracunan tapi ga belalang juga kali yg jd opsi nya;1,88E+34;NEGATIVE;26/01/2026
﻿nan;29/07/2025 12.53;Holaaa smantisizen.... Program Makan Bergizi Gratis (MBG) sudah dilaksanakan loh di sekolah kita tercinta. Program Makan Bergizi Gratis ini merupakan program yang dirancang oleh pemerintah dengan tujuan untuk membangun sumber daya unggul menurunkan angka stunting dll https://t.co/KfRfrEVo00;1,95E+34;POSITIVE;26/01/2026
﻿nan;11/06/2025 21.04;cokkk gw tadi marah2 ke prabs ttg nagih janji dia yg mau ngasih kuliah gratis dll gt tapi nyatanya malah efisiensi. eh temen goblok gw bilang ya kan sekarang dia fokus ke program mbg . BACOTTTTTTTTT PROGRAM JELEK GAJELAS ITU????!!!!?!;1,93E+34;NEGATIVE;26/01/2026
﻿nan;07/03/2025 18.35;Ini pemerintah an**** maunya apaan sih? Bener ga tahan gw sm gobloknya. Udah tau kurikulum kagak bener libur ditambah terus. Ortu blm mulai cuti anak udah libur ortu udah mulai masuk kerja anak masih libur. Biar MBG ngurang? Situ yg bikin program ga pake otak ortu yg jd korban https://t.co/QKVF2Mqxs5;1,90E+33;NEGATIVE;26/01/2026
﻿nan;23/06/2025 14.21;Santri sehat bangsa kuat. Gus Menko @cakiminow hadirkan SPPG di pesantren sebagai ikhtiar memperkuat masa depan generasi lewat pemenuhan gizi berkelanjutan. #SPPG #MBG #SantriUntukIndonesia https://t.co/MuI722YCLl;1,94E+34;POSITIVE;26/01/2026
﻿nan;07/08/2025 21.39;Kasau: TNI AU Targetkan 100 SPPG Beroperasi Akhir Tahun 2025 TNI Angkatan Udara menargetkan 100 Satuan Pelayanan Pemenuhan Gizi (SPPG) beroperasi pada akhir tahun 2025 untuk mendukung progam Makan Bergizi Gratis (MBG). Target ini disampaikan oleh Kepala Staf Angkatan Udara https://t.co/lZUoasl5QA;1,95E+33;NEUTRAL;26/01/2026
﻿nan;12/10/2025 23.17;Susu dalam MBG = langkah nyata ubah kebijakan gizi jadi gerakan nasional Untuk anak sekolah yang sehat cerdas dan masa depan Indonesia yang lebih kuat 🇮🇩 #LanjutkanMBG #MBG #KluivertOut PSSI Menpora #OurMuseJimin #afcmafia #WASITMAFIA mbg berbenah HAPPY BIRTHDAY JIMIN afc https://t.co/Mz579l0TLJ;1,98E+34;POSITIVE;26/01/2026
﻿nan;05/02/2025 23.38;Beneran deh ini kalo buat MBG better MBG di stop. Percuma anaknya dikasih makan sehari sekali (itupun gak semua dapat dan layak) tapi orang tuanya kena potong gaji/lay off/efisiensi ala2 dah yang intiny pemasukan berkurang. Yang ada 1 keluarga gak makan;1,89E+33;NEGATIVE;26/01/2026
﻿nan;21/01/2025 09.31;PM Jepang Shigeru Ishiba menyatakan pemerintah Jepang berminat menjalin kerja sama dengan Indonesia dalam program Makan Bergizi Gratis (MBG).;1,88E+34;POSITIVE;26/01/2026
﻿nan;19/08/2025 17.10;@KenSavitri35075 @tham878 Bisa dicek di peraturan badan gizi nasional nomor 6 isinya pedoman umum penyelenggaraan MBG;1,96E+34;NEUTRAL;26/01/2026
﻿nan;31/08/2025 18.57;Mumpung Prabs lagi open discuss ada yang bisa kasih kumpulan bukti bahwa MBG itu gak efektif nggak sih.. kayak case keracunan porsi makanan sangat sedikit dll.. Sumpah dah sayang bgt anggaran 300 T buat makanan yang sia-sia.. better di alokasiin ke Pendidikan dan Kebencanaan;1,96E+33;NEGATIVE;26/01/2026
﻿nan;03/09/2025 08.22;Gibran ini emang temanya melawan arus yah? ga ada proker laen selain ninjau mbg kah? negara lagi diambang kebobrokan broh;1,96E+34;NEGATIVE;26/01/2026
﻿nan;08/06/2025 11.45;MBG Sidoarjo Ajak Anak Hebat Cegah Malnutrisi Lewat Makanan Berserat. https://t.co/3DGYaU2SlB;1,93E+33;POSITIVE;26/01/2026
﻿nan;01/08/2025 07.51;Babinsa Pandowan Koramil 09/Galur Kodim 0731/Kulon Progo Sertu Ciptadi Kamis (31/7/2025) hadiri doa bersama memohon keberkahan dan kelancaran Dapur SPPG Pandowan yang rencana akan beroperasi melayani MBG bagi siswa sekolah tanggal 04 Agustus 2025 di wilayah Kapanewon Galur. https://t.co/CKBTvNgJKR;1,95E+34;NEUTRAL;26/01/2026
﻿nan;22/08/2025 13.44;@Ngadinopanser @kompascom Secara hipotetis dana MBG 2026 (Rp 335 T) lebih dari cukup untuk lunasi utang Whoosh (Rp 116 T). Tapi program itu untuk makan bergizi gratis anak-anak bukan nutup utang kereta. Bom waktu tetap ada kalau gak diselesaikan benar.;1,96E+34;NEUTRAL;26/01/2026
﻿nan;30/09/2025 22.48;"Dulu...Saat Indonesia merdeka di tahun 1945 dapat dikatakan semua hal belum siap...terpenting merdeka dulu. Kini... Makan Bergizi Gratis (MBG) juga begitu..banyak yang belum siap &amp; sesuai standar.. penting jalan dulu...setelah ada banyak korban keracunan baru dibenahi ini.. itu.";1,97E+33;NEGATIVE;26/01/2026
﻿nan;13/03/2025 13.33;"Selain melakukan efisiensi anggaran yg dianggap pemborosan pemerintah menginvestasikan uang negara utk membangun SDM lewat MBG sekolah rakyat &amp; kesehatan gratis. Bukti komitmen Pesiden bertahap mau mewujudkan keadilan sosial utk seluruh rakyat. Cc. @agusjabo333 @prima_or_id https://t.co/kYQ2MgC3o9";1,90E+34;POSITIVE;26/01/2026
﻿nan;14/02/2025 23.41;bukti program MBG sangat Penting!!! #mbg #mbgdorongekonomi #papuaviral https://t.co/YwHbxMYZx0;1,89E+33;NEUTRAL;26/01/2026
﻿nan;21/04/2025 13.15;Bhabinkamtibmas kelurahan Giwangan Aipda Basyori Anwar SH melaksanakan kegiatan pengamanan dan Monitoring Penyaluran Program Makan Bergizi Gratis (MBG) di sekolahan yang ada di wilayah Kelurahan Giwangan. Senin (21/4/2025). https://t.co/O9cGeeNvZt;1,91E+34;NEUTRAL;26/01/2026
﻿nan;24/10/2025 07.15;Pemerintah baru membuat regulasi makan bergizi gratis setelah terjadi kasus keracunan massal. Ada celah penyelewengan. #TempoPlus #PemerintahanPrabowo https://t.co/8Urihz5vnQ;1,98E+32;NEUTRAL;26/01/2026
﻿nan;13/08/2025 11.59;Siswa di Sragen keracunan MBG. @prabowo mohon agar MBG dievaluasi. Lihat video https://t.co/0XKki1ROYz! #TikTok https://t.co/wwiQYbz1vD;1,96E+34;NEUTRAL;26/01/2026
﻿nan;13/03/2025 11.02;Program MBG Salurkan Rp710 5 Miliar Target 82 9 Juta Penerima https://t.co/KQYdjN0BTV;1,90E+34;NEUTRAL;26/01/2026
﻿nan;28/03/2025 09.05;Lah tuh bisa mikir dengan duit segitu bisa menghilangkan kemiskinan ekstrem. Terus napa buang duit ke MBG dah wo itu kemiskinan kan beresin dulu wo wo untung puasa wo astagfirullah capek bet punya presiden begini;1,91E+34;NEGATIVE;26/01/2026
﻿nan;06/01/2025 12.58;Penjabat (Pj) Gubernur DKI Jakarta Teguh Setyabudi bersama Wakil Menteri Sosial (Wamensos) RI Agus Jabo Priyono memantau pendistribusian program Makan Bergizi Gratis (MBG) di dua sekolah wilayah Kecamatan Palmerah Jakarta Barat Senin (6/1). #PemkotJB https://t.co/3RdHKmE9kZ;1,88E+33;NEUTRAL;26/01/2026
﻿nan;17/06/2025 13.25;*Kapolri Resmikan SPPG Polres Jembrana Komitmen Sukseskan Program MBG* Bali Kapolri Jenderal Polisi Listyo Sigit Prabowo meresmikan Satuan Pelayanan Pemenuhan Gizi (SPPG) Polres Jembrana Bali Selasa (17/6/2025). Program ini menjadi bagian dari langkah nyata Polri https://t.co/ditlhkhDH0;1,93E+33;NEUTRAL;26/01/2026
﻿nan;23/02/2025 11.26;Misal pemerintah mau mengevaluasi Makan Bergizi Gratis (MBG) lalu menyatakan bahwa program itu akan diganti program lain yang jauh lebih bermafaat saya yakin rakyat tidak akan protes. Masih banyak hal mendesak lainnya yang bisa kita lakukan dibanding MBG.;1,89E+33;NEGATIVE;26/01/2026
﻿nan;15/05/2025 15.18;makannya dikasih tu rumput bukan menu mbg itu-___-;1,92E+34;NEGATIVE;26/01/2026
﻿nan;23/06/2025 11.25;Program Makan Bergizi Gratis (MBG) merupakan bukti nyata komitmen pemerintah dalam menciptakan generasi sehat dan kuat. Dengan memberikan asupan gizi seimbang sejak dini anak-anak Indonesia disiapkan untuk tumbuh optimal dan meraih masa depan gemilang https://t.co/WEc2nNjwWC;1,94E+33;POSITIVE;26/01/2026
﻿nan;21/01/2025 22.31;Geger! Tertawakan Prabowo Saat Jelaskan Program MBG Bahlil dan Erick Thohir Layak Masuk Daftar Nama Menteri Yang Harus Direshuffle.;1,88E+34;NEUTRAL;26/01/2026
﻿nan;11/07/2025 23.25;Harapan akan dunia yang bebas kelaparan kian nyata dengan kerja sama MBG di G20 #MakanBergiziGratis https://t.co/G8WFm1EmfG;1,94E+34;POSITIVE;26/01/2026
﻿nan;03/09/2025 15.43;Wakil Bupati Asahan Melakukan Peninjauan Makan Bergizi Gratis (MBG) di SMA Negeri 4 Kisaran https://t.co/mx6VicKT9U;1,96E+33;NEUTRAL;26/01/2026
﻿nan;23/02/2025 08.49;"Tgl 1 Maret nanti mulai Ramadhan mungkin program MBG bisa stop dulu &amp; lakukan evaluasi menyeluruh nggak apa2 mundur satu langkah tp bisa lebih baik ke depannya Mulai dengan menghitung ulang skala dan target program mulai dari memeriksa dahulu kondisi kesehatan &amp; gizi anak";1,89E+34;NEUTRAL;26/01/2026
﻿nan;05/07/2025 10.53;@WagimanDeep212_ kalo mbg diliburkan ya korupsi libur juga donk? kaya ga tau aja;1,94E+34;NEGATIVE;26/01/2026
﻿nan;15/09/2025 23.21;Klo memang disiapkan dengan standar kebersihan dan kesehatan yang berlaku : 1. Ada sertifikasi HACCP? Baik dari MBG vendor subkon supplier dapur dna aemua pihak terlibat? 2. Mana SOP kalian? 3.definisi standar kebersihan dan kesehatan yg berlaku 4. Poin 1 3 5 ga perlu ada-;1,97E+34;NEUTRAL;26/01/2026
﻿nan;06/05/2025 22.14;Hasto Wardoyo Siap Lapor BGN Akan Terhentinya Program MBG di Kotagede https://t.co/tqZX3FuFFI #pdiperjuangan;1,92E+34;NEUTRAL;26/01/2026
﻿nan;21/09/2025 21.24;SPPG Sebagai Ujung Tombak Program MBG #MakanBergiziGratis https://t.co/55wMCq4rMN;1,97E+34;NEUTRAL;26/01/2026
﻿nan;04/03/2025 06.36;Program Makan Bergizi Gratis (MBG) Kembali Disorot Dari Keracunan Siswa hingga Kualitas Makanan yang Dipertanyakan https://t.co/aI4bGnavGQ;1,90E+34;NEUTRAL;26/01/2026
﻿nan;24/05/2025 13.02;Program MBG : Fondasi Kuat Dalam Menciptakan Generasi Emas https://t.co/7SobrmVNIT;1,93E+33;POSITIVE;26/01/2026
﻿nan;06/05/2025 14.48;Fantastis! Anggaran MBG Ditambah Lagi Rp 50 Triliun Kepala BGN Sebut Atas Kemauan Prabowo https://t.co/rsWfkqHcs8;1,92E+34;NEUTRAL;26/01/2026
﻿nan;06/04/2025 16.13;Ekonomi lagi bermasalah seekor makhluk berkata salah satu strategi penanganan nya adalah MBG Tapi rupiah masih semakin anjlok wkwkwkwk Nalarnya dimana anjay;1,91E+34;NEGATIVE;26/01/2026
﻿nan;07/03/2025 02.53;Menu MBG berubah jadi snack dan susu. Ujung-ujungnya ada Diamond;1,90E+32;NEUTRAL;26/01/2026
﻿nan;05/06/2025 18.58;Padahal ga ada yang menjanjikan suerrr ASBUN SEMUA ITU JANJI KAMPANYE NYA MBG kepalang rame jadi pontang panting nyari dana sampe efisiensi itu baru 1 isi visi misi dia sisanya /menghela napas;1,93E+34;NEGATIVE;26/01/2026
﻿nan;27/04/2025 12.23;Kalau perusahaan FnB pakai standar ginian ya sudah bangkrut ngabisin uang investor. Tapi untungnya proyek MBG pakai uang rakyat jadi tidak apa apa ️;1,92E+33;NEUTRAL;26/01/2026
﻿nan;27/05/2025 14.44;Dalam sukseskan program Dapur MBG dari presiden prabowo BUMN berkolaborasi dengan Kementerian PU #berita #bumn #mbg #presidenprabowo #tepatsolutifindonesia https://t.co/buo5lx3pKW;1,93E+32;POSITIVE;26/01/2026
﻿nan;13/08/2025 14.57;Menkeu Sri Mulyani Jelaskan Anggaran MBG Tembus Rp300 Triliun di 2026 https://t.co/j1kpgB3kzG;1,96E+34;NEUTRAL;26/01/2026
﻿nan;18/09/2025 21.54;Kudu di demo itu mbg surat perjanjiannya gak masuk diakal juga;1,97E+34;NEGATIVE;26/01/2026
﻿nan;21/09/2025 19.02;Makan Bergizi Gratis minggu ini menunya apa aja guys? Yang kayak gini bisa ngak diaudit laporan keuangan dapur MBG-nya? Atau minimal info alamat lokasi dapur MBG ini... https://t.co/zptQGxRsxI;1,97E+33;NEUTRAL;26/01/2026
﻿nan;26/10/2025 01.48;Teruntuk anak-anak yang dapat menu MBGnya enak sadarlah empati dan kepedulian thdp temannya sesama manusia yg keracunan dan sudah 7ribuan kasus. Jangan sampai jadi orang yg mudah ditutup mulut pakai bansos pas pemilu gampang dibeli suaranya. Hidup kalian ga berhenti sampe MBG.;1,98E+34;NEGATIVE;26/01/2026
﻿nan;03/05/2025 22.23;saat orang miskin berada di survival mode mereka mikir sederhana kan pak? MBG itu sangat sangat sederhana dibanding ini makanya pada milih 02;1,92E+34;POSITIVE;26/01/2026
﻿nan;03/04/2025 15.35;3. memperkuat daya beli masyarakat melalui program Makan Bergizi Gratis (MBG). Serta mendirikan 80.000 Koperasi Desa Merah Putih yg bertujuan untuk memperkuat ekonomi desa membuka jutaan lapangan pekerjaan baru dan mendorong perputaran uang di daerah.;1,91E+33;POSITIVE;26/01/2026
﻿nan;12/05/2025 16.26;Yg tawuran pd meninggal hbs nerima mbg makanya dpt meredam tawuran;1,92E+33;NEGATIVE;26/01/2026
﻿nan;27/09/2025 17.32;Tunjangan makan pejabat kan gede nih mending kasih mbg aja sekeluarga duit tunjangannya bagiin ke dana buat sekolah;1,97E+34;NEGATIVE;26/01/2026
﻿nan;07/08/2025 05.38;Polres Kutai Timur Laksanakan Groundbreaking SPPG MBG Serentak se-Indonesia ​Sangatta Kutai Timur - Polres Kutai Timur turut serta dalam acara Groundbreaking Satuan Pelayanan Pemenuhan Gizi (SPPG) Makan Bergizi Gratis (MBG) secara serentak se-Indonesia https://t.co/IiwC3tmL7p;1,95E+34;NEUTRAL;26/01/2026
﻿nan;28/03/2025 11.44;Mending buat pendidikan tinggi gratis ya. Emang sengaja biar nurut yg dibawah https://t.co/DFuOJpgain Pemerintah berencana menambah anggaran Makan Bergizi Gratis (MBG) untuk mencapai target 82 9 juta penerima. Diperlukan tambahan Rp 100 triliun hingga 2025.;1,91E+34;NEUTRAL;26/01/2026
﻿nan;05/07/2025 14.46;Harusnya pendidikan yang gratis bukan mbg. Mana korupsi makin banyak tapi ada didiemin doang. Jahat anjir jahatt https://t.co/WtkIFbyFdm;1,94E+34;NEGATIVE;26/01/2026
﻿nan;12/04/2025 09.24;Program makan bergizi gratis menjadi program pemerintah yg paling utama untuk menyediakan makanan bergizi secara gratis kepada anak dan ibu hamil guna meningkatkan kesehatan mereka mewujudkan generasi unggul. #MBGWujudkanGenerasiSehat https://t.co/DzRLVmBwXA;1,91E+34;POSITIVE;26/01/2026
﻿nan;21/09/2025 23.41;Dukung terus Program Makan Bergizi Gratis untuk menurunkan angka stunting di Indonesia. #ProgramMBG https://t.co/wxgZNLbeiw;1,97E+34;POSITIVE;26/01/2026
﻿nan;03/05/2025 13.55;Makan Bergizi Gratis #MBG #makanbergizigratis https://t.co/OYQhLJYPnC;1,92E+34;POSITIVE;26/01/2026
﻿nan;19/08/2025 07.40;Obsesi MBG Berlebihan hingga harus Utang secara Brutal.. Pdhal hasilnya cuma: -Peluang dikorupsi -Keracunan Berjama'ah -Dibuang sebagai T*I https://t.co/jc2URnI32g;1,96E+33;NEGATIVE;26/01/2026
﻿nan;29/06/2025 20.13;Kita dukung MBG demi generasi unggul dan masa depan lebih cerah #MakanBergiziGratis https://t.co/d31JGkYBmI;1,94E+33;POSITIVE;26/01/2026
﻿nan;13/08/2025 11.57;Konsumsi makanan dengan gizi seimbang bisa berpengaruh pada kemampuan berpikir anak. Namun apakah program MBG selama ini sudah menerapkan prinsip gizi seimbang itu? #Kesehatan #AdadiKompas https://t.co/Rq1vs56Jli;1,96E+33;NEUTRAL;26/01/2026
﻿nan;30/05/2025 10.07;@SalimCipok Dan juga gaji dobel. Sementara rakyat miskin makin bertambah. Di AnTam komisaris jenderal aktif. Bisa kecolongan Emas di gudang. Satu KUADRILIUN nilai nya. Setara MBG 10 tahun itu asalkan jangan ada komisi2 10.%.;1,93E+33;NEUTRAL;26/01/2026
﻿nan;02/06/2025 22.36;Bangga program makan bergizi gratis sudah hadir dan bawa dampak besar untuk bangsa #MBGPenuhiGizi https://t.co/I0zECDn0vW;1,93E+34;POSITIVE;26/01/2026
﻿nan;13/08/2025 13.15;loker sppg mbg lagi buanyak bgt ya tiap hari ada aja yg nawarin tp gmn ya ga minat tp butuh kerja tp gamau itu;1,96E+34;NEUTRAL;26/01/2026
﻿nan;25/03/2025 21.02;btw soal MBG udah jarang banget disebut kata „stunting curiga mengatasi stunting udah bukan jadi tujuan utama atau indikator keberhasilannya;1,90E+34;NEGATIVE;26/01/2026
﻿nan;08/06/2025 12.50;Progam MBG dapat cerdaskan dan penuhi #GiziAnak https://t.co/SMsoCB78aT;1,93E+34;POSITIVE;26/01/2026
﻿nan;12/10/2025 22.11;"Ada pertanyaan kenapa susu yang diberikan pada program MBG memiliki rasa yang plain? Menurut ahli gizi; Badan Gizi Nasional memiliki kriteria khusus terkait susu yang diberikan: 1. Jenis UHT atau pasteurisasi 2. Plain dan tak mengandung perasa 3. Mengandung 80% susu segar https://t.co/ysysBPjPk2";1,98E+34;NEUTRAL;26/01/2026
﻿nan;05/06/2025 10.13;Babinsa Tegalharjo Koramil 04/Jebres Serka Joko Riyanto dan Koptu Sanda Arieswanto bantu pendistribusian Operasional Unit MBG - SPPG Kodim 0735/Surakarta di SDN Tegalharjo Kel. Tegalharjo Kec.Jebres ( 05/06/2025 ) #babinsasurakarta #pendimsurakarta https://t.co/cSiMTAH09M;1,93E+34;NEUTRAL;26/01/2026
﻿nan;19/03/2025 09.54;Kadang mikir si gibran lg ngapain ya disaat warganya heboh gini? Katanya untuk mewakili suara kaum muda tp kok kerjanya cuman meet and greet MBG;1,90E+34;NEUTRAL;26/01/2026
﻿nan;11/06/2025 13.39;Bersama Dukung Program MBG #MakanBergiziGratis #ManfaatMBG #CegahStunting #DukungMBG https://t.co/egq4NI9aus;1,93E+34;POSITIVE;26/01/2026
﻿nan;28/03/2025 22.24;Ketua Lembaga Masyarakat Adat Papua dukung MBG untuk anak-anak Papua Kasur Prof. Dr. Ir YandriSusanto Intel Olla Buna Tidur Penyelam Teddy Cerai Ridwan Kamil Gempa Banjir Fufufafa Bunted UUTNI RUUPolri INDONESIA KAWAL SAMPAI MENANG mudik Nyepi Zakat diantar pks Terimakasih https://t.co/FXplBgo62a;1,91E+33;NEUTRAL;26/01/2026
﻿nan;12/04/2025 23.40;@ablzes MBG sangat mbantu anak anak Indonesia bisa makan bergizi gratis;1,91E+33;NEUTRAL;26/01/2026
